City,Race,Gender,Class,Age,Education,Wage
New York,Black,Female,Private,above 55,high school,low
New York,Black,Male,Private,46 to 55,graduate,medium
New York,Black,Female,Private,26 to 35,high school,low
New York,Black,Female,Private,26 to 35,undergraduate,low
New York,Black,Male,Private,36 to 45,high school,medium
New York,White,Female,Private,36 to 45,undergraduate,low
New York,White,Female,Private,16 to 25,undergraduate,low
New York,Black,Male,Private,46 to 55,high school,medium
New York,White,Female,Private,36 to 45,high school,medium
New York,Black,Male,Private,36 to 45,undergraduate,medium
New York,White,Male,Private,above 55,high school,medium
New York,White,Female,Private,36 to 45,high school,medium
New York,White,Male,Private,16 to 25,undergraduate,medium
New York,White,Male,Private,16 to 25,undergraduate,medium
New York,White,Female,Private,16 to 25,undergraduate,low
New York,Black,Female,Government,16 to 25,undergraduate,low
New York,White,Male,Private,26 to 35,undergraduate,medium
New York,White,Male,Government,36 to 45,undergraduate,medium
New York,Black,Female,Private,16 to 25,undergraduate,low
New York,Black,Male,Private,46 to 55,undergraduate,high
New York,White,Male,Private,16 to 25,graduate,low
New York,White,Female,Private,16 to 25,undergraduate,low
New York,White,Female,Private,46 to 55,undergraduate,low
New York,White,Male,Private,16 to 25,high school,medium
New York,White,Male,Private,46 to 55,high school,medium
New York,White,Female,Private,36 to 45,undergraduate,low
New York,White,Female,Private,36 to 45,high school,low
New York,White,Female,Private,36 to 45,undergraduate,low
New York,White,Female,Private,46 to 55,high school,medium
New York,White,Female,Private,26 to 35,undergraduate,medium
New York,White,Female,Private,46 to 55,graduate,low
New York,White,Male,Private,46 to 55,undergraduate,medium
New York,White,Female,Private,36 to 45,high school,low
New York,White,Male,Private,36 to 45,high school,medium
New York,White,Male,Private,26 to 35,undergraduate,low
New York,White,Female,Private,above 55,high school,medium
New York,White,Female,Private,46 to 55,undergraduate,low
New York,White,Male,Private,16 to 25,undergraduate,low
New York,White,Male,Private,16 to 25,undergraduate,low
New York,White,Male,Government,26 to 35,graduate,medium
New York,White,Female,Private,16 to 25,undergraduate,low
New York,White,Female,Private,16 to 25,graduate,medium
New York,White,Female,Private,above 55,high school,low
New York,White,Male,Private,above 55,high school,medium
New York,White,Male,Private,16 to 25,graduate,medium
New York,White,Female,Private,26 to 35,graduate,medium
New York,Black,Female,Private,46 to 55,undergraduate,medium
New York,White,Female,Private,16 to 25,undergraduate,low
New York,White,Male,Private,16 to 25,undergraduate,medium
New York,White,Male,Private,36 to 45,graduate,medium
New York,White,Female,Private,above 55,high school,low
New York,White,Male,Private,16 to 25,undergraduate,low
New York,White,Male,Government,above 55,high school,medium
New York,White,Female,Government,36 to 45,undergraduate,low
New York,Black,Male,Private,above 55,high school,medium
New York,Black,Male,Private,16 to 25,high school,low
New York,White,Female,Private,26 to 35,undergraduate,medium
New York,White,Male,Private,16 to 25,undergraduate,low
New York,White,Male,Private,46 to 55,graduate,low
